time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
3600.0,01,on_mission,439.70052002092734,145.07486999476814,0.7724453745614566,01_route,1,cell_003_011,2,33.33333333333333
3600.0,02,on_mission,380.0,296.0,0.7780989322146745,02_route,3,cell_011_009,3,50.0
3600.0,03,on_mission,350.8840289534146,220.76235946521956,0.7862226600807429,03_route,0,cell_004_009,3,0.0
3600.0,04,on_mission,270.8380025276503,425.55918462768074,0.8022439839714902,04_route,2,cell_011_002,1,66.66666666666666
3600.0,05,on_mission,367.95139702676306,131.01823249029292,0.8374549636886891,05_route,1,cell_002_011,2,33.33333333333333
3600.0,06,on_mission,338.3243291780259,163.81466904112813,0.82273383861569,06_route,0,cell_007_002,5,0.0
3600.0,07,on_mission,280.0,60.0,0.8265397406392272,07_route,2,cell_001_001,1,66.66666666666666
3600.0,08,on_mission,144.15167228708162,370.94258634768704,0.8568047160751322,08_route,0,cell_000_011,3,0.0
3600.0,09,on_mission,187.26493526370606,307.26493526370655,0.8964986250877475,09_route,1,cell_003_000,2,33.33333333333333
3600.0,10,on_mission,219.20520353248554,308.40193781183825,0.8827761977531634,10_route,0,cell_006_008,3,0.0
3600.0,11,on_mission,291.0183293541186,223.5486582957289,0.9275132275132328,11_route,0,cell_006_010,3,0.0
3600.0,12,on_mission,175.23058054975948,417.0483916575693,0.9301587301587353,12_route,0,cell_010_004,3,0.0
3600.0,13,spare,-498.9770298451199,0.4568951735836482,1.0,13_route,0,cell_011_001,4,0.0
3600.0,14,spare,-500.0,0.0,1.0,14_route,0,cell_006_010,3,0.0
3600.0,15,on_mission,126.85720075039973,164.17688591081887,0.9428571428571471,15_route,0,cell_005_008,3,0.0
3600.0,16,spare,-500.0,0.0,1.0,16_route,0,cell_001_005,4,0.0
3600.0,17,on_mission,-286.6105172334225,30.79938831546211,0.26915767650117384,17_route,0,cell_000_000,6,0.0
3600.0,18,on_mission,19.779340071746756,79.80771082875378,0.26843111389404234,18_route,4,cell_011_008,1,80.0
3600.0,19,on_mission,5.694417900117269,103.59853749368834,0.27696311168822046,19_route,0,cell_001_000,6,0.0
3600.0,20,on_mission,148.9935677359288,208.64653734718908,0.27999225249950177,20_route,3,cell_008_003,1,75.0
3600.0,21,on_mission,407.04864351269026,449.40972870253796,0.3214872358414046,21_route,0,cell_010_006,3,0.0
3600.0,22,on_mission,458.4693630294535,410.816178176721,0.31472586324158147,22_route,0,cell_010_011,3,0.0
3600.0,23,on_mission,294.0,460.0,0.3222103434303667,23_route,2,cell_011_005,1,66.66666666666666
3600.0,24,on_mission,303.02229457658717,223.02229457658706,0.3280978506618517,24_route,0,cell_004_006,3,0.0
3600.0,25,on_mission,34.0,340.0,0.5562684420773025,25_route,2,cell_008_000,1,66.66666666666666
3600.0,26,on_mission,407.6579003744292,399.29970299974235,0.5654986695055557,26_route,2,cell_003_006,1,66.66666666666666
3600.0,27,on_mission,326.4720248172125,254.93916525590248,0.5958319501847481,27_route,2,cell_004_009,1,66.66666666666666
3600.0,28,on_mission,281.2742466211443,130.5595846267945,0.6202165533361144,28_route,3,cell_001_006,2,60.0
3600.0,29,on_mission,424.4898187420428,46.938912452256886,0.6781407589838434,29_route,3,cell_000_010,2,60.0
3600.0,30,on_mission,362.27179352645976,264.9897287910551,0.6786799694242974,30_route,0,cell_011_009,3,0.0
3600.0,31,spare,-500.0,0.0,1.0,None,0,None,0,0
