cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,2394.0,6.0,False,0,0
cell_000_001,60.0,20.0,2361.0,39.0,False,0,1
cell_000_002,100.0,20.0,2367.0,33.0,False,0,2
cell_000_003,140.0,20.0,2373.0,27.0,False,0,3
cell_000_004,180.0,20.0,2379.0,21.0,False,0,4
cell_000_005,220.0,20.0,2385.0,15.0,False,0,5
cell_000_006,260.0,20.0,2266.0,134.0,False,0,6
cell_000_007,300.0,20.0,2260.0,140.0,False,0,7
cell_000_008,340.0,20.0,2253.0,147.0,False,0,8
cell_000_009,380.0,20.0,2246.0,154.0,False,0,9
cell_000_010,420.0,20.0,2240.0,160.0,False,0,10
cell_000_011,460.0,20.0,2144.0,256.0,True,0,11
cell_001_000,20.0,60.0,2399.0,1.0,False,1,0
cell_001_001,60.0,60.0,2400.0,0.0,False,1,1
cell_001_002,100.0,60.0,2368.0,32.0,False,1,2
cell_001_003,140.0,60.0,2375.0,25.0,False,1,3
cell_001_004,180.0,60.0,2382.0,18.0,False,1,4
cell_001_005,220.0,60.0,2398.0,2.0,False,1,5
cell_001_006,260.0,60.0,2400.0,0.0,False,1,6
cell_001_007,300.0,60.0,2400.0,0.0,False,1,7
cell_001_008,340.0,60.0,2400.0,0.0,False,1,8
cell_001_009,380.0,60.0,2269.0,131.0,False,1,9
cell_001_010,420.0,60.0,2232.0,168.0,False,1,10
cell_001_011,460.0,60.0,2229.0,171.0,False,1,11
cell_002_000,20.0,100.0,2382.0,18.0,False,2,0
cell_002_001,60.0,100.0,2400.0,0.0,False,2,1
cell_002_002,100.0,100.0,2356.0,44.0,False,2,2
cell_002_003,140.0,100.0,2358.0,42.0,False,2,3
cell_002_004,180.0,100.0,2389.0,11.0,False,2,4
cell_002_005,220.0,100.0,2395.0,5.0,False,2,5
cell_002_006,260.0,100.0,1459.0,941.0,True,2,6
cell_002_007,300.0,100.0,2096.0,304.0,True,2,7
cell_002_008,340.0,100.0,2400.0,0.0,False,2,8
cell_002_009,380.0,100.0,2262.0,138.0,False,2,9
cell_002_010,420.0,100.0,2159.0,241.0,True,2,10
cell_002_011,460.0,100.0,2224.0,176.0,False,2,11
cell_003_000,20.0,140.0,2375.0,25.0,False,3,0
cell_003_001,60.0,140.0,1508.0,892.0,True,3,1
cell_003_002,100.0,140.0,2310.0,90.0,False,3,2
cell_003_003,140.0,140.0,2380.0,20.0,False,3,3
cell_003_004,180.0,140.0,2385.0,15.0,False,3,4
cell_003_005,220.0,140.0,2317.0,83.0,False,3,5
cell_003_006,260.0,140.0,2318.0,82.0,False,3,6
cell_003_007,300.0,140.0,2233.0,167.0,False,3,7
cell_003_008,340.0,140.0,2238.0,162.0,False,3,8
cell_003_009,380.0,140.0,2255.0,145.0,False,3,9
cell_003_010,420.0,140.0,2165.0,235.0,True,3,10
cell_003_011,460.0,140.0,2218.0,182.0,True,3,11
cell_004_000,20.0,180.0,2368.0,32.0,False,4,0
cell_004_001,60.0,180.0,1504.0,896.0,True,4,1
cell_004_002,100.0,180.0,2371.0,29.0,False,4,2
cell_004_003,140.0,180.0,2375.0,25.0,False,4,3
cell_004_004,180.0,180.0,2067.0,333.0,True,4,4
cell_004_005,220.0,180.0,2400.0,0.0,False,4,5
cell_004_006,260.0,180.0,2399.0,1.0,False,4,6
cell_004_007,300.0,180.0,2234.0,166.0,False,4,7
cell_004_008,340.0,180.0,2242.0,158.0,False,4,8
cell_004_009,380.0,180.0,2249.0,151.0,False,4,9
cell_004_010,420.0,180.0,2245.0,155.0,False,4,10
cell_004_011,460.0,180.0,2211.0,189.0,True,4,11
cell_005_000,20.0,220.0,2362.0,38.0,False,5,0
cell_005_001,60.0,220.0,2362.0,38.0,False,5,1
cell_005_002,100.0,220.0,2365.0,35.0,False,5,2
cell_005_003,140.0,220.0,2322.0,78.0,False,5,3
cell_005_004,180.0,220.0,2206.0,194.0,True,5,4
cell_005_005,220.0,220.0,2213.0,187.0,True,5,5
cell_005_006,260.0,220.0,2394.0,6.0,False,5,6
cell_005_007,300.0,220.0,2390.0,10.0,False,5,7
cell_005_008,340.0,220.0,2195.0,205.0,True,5,8
cell_005_009,380.0,220.0,2254.0,146.0,False,5,9
cell_005_010,420.0,220.0,2257.0,143.0,False,5,10
cell_005_011,460.0,220.0,2204.0,196.0,True,5,11
cell_006_000,20.0,260.0,2400.0,0.0,False,6,0
cell_006_001,60.0,260.0,2355.0,45.0,False,6,1
cell_006_002,100.0,260.0,2328.0,72.0,False,6,2
cell_006_003,140.0,260.0,2329.0,71.0,False,6,3
cell_006_004,180.0,260.0,2275.0,125.0,False,6,4
cell_006_005,220.0,260.0,2269.0,131.0,False,6,5
cell_006_006,260.0,260.0,2079.0,321.0,True,6,6
cell_006_007,300.0,260.0,2385.0,15.0,False,6,7
cell_006_008,340.0,260.0,2381.0,19.0,False,6,8
cell_006_009,380.0,260.0,2270.0,130.0,False,6,9
cell_006_010,420.0,260.0,2264.0,136.0,False,6,10
cell_006_011,460.0,260.0,2198.0,202.0,True,6,11
cell_007_000,20.0,300.0,2399.0,1.0,False,7,0
cell_007_001,60.0,300.0,2369.0,31.0,False,7,1
cell_007_002,100.0,300.0,2376.0,24.0,False,7,2
cell_007_003,140.0,300.0,2382.0,18.0,False,7,3
cell_007_004,180.0,300.0,2387.0,13.0,False,7,4
cell_007_005,220.0,300.0,2261.0,139.0,False,7,5
cell_007_006,260.0,300.0,2240.0,160.0,False,7,6
cell_007_007,300.0,300.0,2345.0,55.0,False,7,7
cell_007_008,340.0,300.0,2375.0,25.0,False,7,8
cell_007_009,380.0,300.0,2371.0,29.0,False,7,9
cell_007_010,420.0,300.0,2400.0,0.0,False,7,10
cell_007_011,460.0,300.0,2191.0,209.0,True,7,11
