cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,1192.0,8.0,False,0,0
cell_000_001,60.0,20.0,1193.0,7.0,False,0,1
cell_000_002,100.0,20.0,1095.0,105.0,False,0,2
cell_000_003,140.0,20.0,1200.0,0.0,False,0,3
cell_000_004,180.0,20.0,1200.0,0.0,False,0,4
cell_000_005,220.0,20.0,943.0,257.0,True,0,5
cell_000_006,260.0,20.0,1087.0,113.0,False,0,6
cell_000_007,300.0,20.0,1093.0,107.0,False,0,7
cell_000_008,340.0,20.0,1100.0,100.0,False,0,8
cell_000_009,380.0,20.0,1199.0,1.0,False,0,9
cell_000_010,420.0,20.0,1113.0,87.0,False,0,10
cell_000_011,460.0,20.0,1119.0,81.0,False,0,11
cell_001_000,20.0,60.0,1193.0,7.0,False,1,0
cell_001_001,60.0,60.0,1200.0,0.0,False,1,1
cell_001_002,100.0,60.0,1200.0,0.0,False,1,2
cell_001_003,140.0,60.0,1199.0,1.0,False,1,3
cell_001_004,180.0,60.0,1200.0,0.0,False,1,4
cell_001_005,220.0,60.0,1161.0,39.0,False,1,5
cell_001_006,260.0,60.0,1155.0,45.0,False,1,6
cell_001_007,300.0,60.0,1148.0,52.0,False,1,7
cell_001_008,340.0,60.0,1200.0,0.0,False,1,8
cell_001_009,380.0,60.0,1200.0,0.0,False,1,9
cell_001_010,420.0,60.0,1188.0,12.0,False,1,10
cell_001_011,460.0,60.0,1125.0,75.0,False,1,11
cell_002_000,20.0,100.0,1186.0,14.0,False,2,0
cell_002_001,60.0,100.0,1200.0,0.0,False,2,1
cell_002_002,100.0,100.0,1186.0,14.0,False,2,2
cell_002_003,140.0,100.0,1196.0,4.0,False,2,3
cell_002_004,180.0,100.0,1200.0,0.0,False,2,4
cell_002_005,220.0,100.0,1132.0,68.0,False,2,5
cell_002_006,260.0,100.0,1141.0,59.0,False,2,6
cell_002_007,300.0,100.0,1148.0,52.0,False,2,7
cell_002_008,340.0,100.0,1155.0,45.0,False,2,8
cell_002_009,380.0,100.0,1128.0,72.0,False,2,9
cell_002_010,420.0,100.0,1183.0,17.0,False,2,10
cell_002_011,460.0,100.0,1094.0,106.0,False,2,11
cell_003_000,20.0,140.0,1192.0,8.0,False,3,0
cell_003_001,60.0,140.0,1193.0,7.0,False,3,1
cell_003_002,100.0,140.0,1191.0,9.0,False,3,2
cell_003_003,140.0,140.0,1198.0,2.0,False,3,3
cell_003_004,180.0,140.0,1200.0,0.0,False,3,4
cell_003_005,220.0,140.0,1151.0,49.0,False,3,5
cell_003_006,260.0,140.0,1145.0,55.0,False,3,6
cell_003_007,300.0,140.0,1143.0,57.0,False,3,7
cell_003_008,340.0,140.0,1159.0,41.0,False,3,8
cell_003_009,380.0,140.0,1164.0,36.0,False,3,9
cell_003_010,420.0,140.0,1176.0,24.0,False,3,10
cell_003_011,460.0,140.0,1173.0,27.0,False,3,11
cell_004_000,20.0,180.0,1200.0,0.0,False,4,0
cell_004_001,60.0,180.0,1200.0,0.0,False,4,1
cell_004_002,100.0,180.0,1171.0,29.0,False,4,2
cell_004_003,140.0,180.0,1087.0,113.0,False,4,3
cell_004_004,180.0,180.0,1182.0,18.0,False,4,4
cell_004_005,220.0,180.0,1190.0,10.0,False,4,5
cell_004_006,260.0,180.0,1192.0,8.0,False,4,6
cell_004_007,300.0,180.0,1141.0,59.0,False,4,7
cell_004_008,340.0,180.0,1146.0,54.0,False,4,8
cell_004_009,380.0,180.0,1170.0,30.0,False,4,9
cell_004_010,420.0,180.0,1172.0,28.0,False,4,10
cell_004_011,460.0,180.0,1170.0,30.0,False,4,11
cell_005_000,20.0,220.0,1200.0,0.0,False,5,0
cell_005_001,60.0,220.0,1200.0,0.0,False,5,1
cell_005_002,100.0,220.0,1166.0,34.0,False,5,2
cell_005_003,140.0,220.0,1173.0,27.0,False,5,3
cell_005_004,180.0,220.0,1181.0,19.0,False,5,4
