cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,7734.0,66.0,False,0,0
cell_000_001,60.0,20.0,7735.0,65.0,False,0,1
cell_000_002,100.0,20.0,7364.0,436.0,True,0,2
cell_000_003,140.0,20.0,7371.0,429.0,True,0,3
cell_000_004,180.0,20.0,7377.0,423.0,True,0,4
cell_000_005,220.0,20.0,7800.0,0.0,False,0,5
cell_000_006,260.0,20.0,7388.0,412.0,True,0,6
cell_000_007,300.0,20.0,7296.0,504.0,True,0,7
cell_000_008,340.0,20.0,7658.0,142.0,False,0,8
cell_000_009,380.0,20.0,7693.0,107.0,False,0,9
cell_000_010,420.0,20.0,7673.0,127.0,False,0,10
cell_000_011,460.0,20.0,2444.0,5356.0,True,0,11
cell_001_000,20.0,60.0,7735.0,65.0,False,1,0
cell_001_001,60.0,60.0,7743.0,57.0,False,1,1
cell_001_002,100.0,60.0,7744.0,56.0,False,1,2
cell_001_003,140.0,60.0,7759.0,41.0,False,1,3
cell_001_004,180.0,60.0,7767.0,33.0,False,1,4
cell_001_005,220.0,60.0,7800.0,0.0,False,1,5
cell_001_006,260.0,60.0,7712.0,88.0,False,1,6
cell_001_007,300.0,60.0,7705.0,95.0,False,1,7
cell_001_008,340.0,60.0,7701.0,99.0,False,1,8
cell_001_009,380.0,60.0,7697.0,103.0,False,1,9
cell_001_010,420.0,60.0,7800.0,0.0,False,1,10
cell_001_011,460.0,60.0,7681.0,119.0,False,1,11
cell_002_000,20.0,100.0,7735.0,65.0,False,2,0
cell_002_001,60.0,100.0,7744.0,56.0,False,2,1
cell_002_002,100.0,100.0,7752.0,48.0,False,2,2
cell_002_003,140.0,100.0,7758.0,42.0,False,2,3
cell_002_004,180.0,100.0,7790.0,10.0,False,2,4
cell_002_005,220.0,100.0,7793.0,7.0,False,2,5
cell_002_006,260.0,100.0,7783.0,17.0,False,2,6
cell_002_007,300.0,100.0,7715.0,85.0,False,2,7
cell_002_008,340.0,100.0,7707.0,93.0,False,2,8
cell_002_009,380.0,100.0,7685.0,115.0,False,2,9
