cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,4078.0,122.0,False,0,0
cell_000_001,60.0,20.0,4071.0,129.0,False,0,1
cell_000_002,100.0,20.0,4064.0,136.0,False,0,2
cell_000_003,140.0,20.0,4165.0,35.0,False,0,3
cell_000_004,180.0,20.0,4169.0,31.0,False,0,4
cell_000_005,220.0,20.0,4044.0,156.0,False,0,5
cell_000_006,260.0,20.0,4037.0,163.0,False,0,6
cell_000_007,300.0,20.0,4030.0,170.0,False,0,7
cell_000_008,340.0,20.0,4023.0,177.0,False,0,8
cell_000_009,380.0,20.0,4101.0,99.0,False,0,9
cell_000_010,420.0,20.0,4027.0,173.0,False,0,10
cell_000_011,460.0,20.0,2444.0,1756.0,True,0,11
cell_001_000,20.0,60.0,4171.0,29.0,False,1,0
cell_001_001,60.0,60.0,3220.0,980.0,True,1,1
cell_001_002,100.0,60.0,3207.0,993.0,True,1,2
cell_001_003,140.0,60.0,4158.0,42.0,False,1,3
cell_001_004,180.0,60.0,4200.0,0.0,False,1,4
cell_001_005,220.0,60.0,4198.0,2.0,False,1,5
cell_001_006,260.0,60.0,4191.0,9.0,False,1,6
cell_001_007,300.0,60.0,4200.0,0.0,False,1,7
cell_001_008,340.0,60.0,4198.0,2.0,False,1,8
cell_001_009,380.0,60.0,4191.0,9.0,False,1,9
cell_001_010,420.0,60.0,4184.0,16.0,False,1,10
cell_001_011,460.0,60.0,4178.0,22.0,False,1,11
cell_002_000,20.0,100.0,4172.0,28.0,False,2,0
cell_002_001,60.0,100.0,4165.0,35.0,False,2,1
cell_002_002,100.0,100.0,4159.0,41.0,False,2,2
cell_002_003,140.0,100.0,4152.0,48.0,False,2,3
cell_002_004,180.0,100.0,4149.0,51.0,False,2,4
cell_002_005,220.0,100.0,4195.0,5.0,False,2,5
cell_002_006,260.0,100.0,4190.0,10.0,False,2,6
cell_002_007,300.0,100.0,4184.0,16.0,False,2,7
cell_002_008,340.0,100.0,4177.0,23.0,False,2,8
cell_002_009,380.0,100.0,4171.0,29.0,False,2,9
cell_002_010,420.0,100.0,4165.0,35.0,False,2,10
cell_002_011,460.0,100.0,4171.0,29.0,False,2,11
cell_003_000,20.0,140.0,4177.0,23.0,False,3,0
cell_003_001,60.0,140.0,4171.0,29.0,False,3,1
cell_003_002,100.0,140.0,4163.0,37.0,False,3,2
cell_003_003,140.0,140.0,4154.0,46.0,False,3,3
cell_003_004,180.0,140.0,4200.0,0.0,False,3,4
cell_003_005,220.0,140.0,4138.0,62.0,False,3,5
cell_003_006,260.0,140.0,4191.0,9.0,False,3,6
cell_003_007,300.0,140.0,4199.0,1.0,False,3,7
cell_003_008,340.0,140.0,4200.0,0.0,False,3,8
cell_003_009,380.0,140.0,4153.0,47.0,False,3,9
cell_003_010,420.0,140.0,4139.0,61.0,False,3,10
cell_003_011,460.0,140.0,4164.0,36.0,False,3,11
cell_004_000,20.0,180.0,3835.0,365.0,True,4,0
cell_004_001,60.0,180.0,3838.0,362.0,True,4,1
cell_004_002,100.0,180.0,4162.0,38.0,False,4,2
cell_004_003,140.0,180.0,4156.0,44.0,False,4,3
cell_004_004,180.0,180.0,4199.0,1.0,False,4,4
cell_004_005,220.0,180.0,4143.0,57.0,False,4,5
cell_004_006,260.0,180.0,4148.0,52.0,False,4,6
cell_004_007,300.0,180.0,4169.0,31.0,False,4,7
cell_004_008,340.0,180.0,4200.0,0.0,False,4,8
cell_004_009,380.0,180.0,4131.0,69.0,False,4,9
cell_004_010,420.0,180.0,4137.0,63.0,False,4,10
cell_004_011,460.0,180.0,4158.0,42.0,False,4,11
cell_005_000,20.0,220.0,3915.0,285.0,True,5,0
cell_005_001,60.0,220.0,3919.0,281.0,True,5,1
cell_005_002,100.0,220.0,3850.0,350.0,True,5,2
cell_005_003,140.0,220.0,4146.0,54.0,False,5,3
cell_005_004,180.0,220.0,4192.0,8.0,False,5,4
cell_005_005,220.0,220.0,4189.0,11.0,False,5,5
cell_005_006,260.0,220.0,4178.0,22.0,False,5,6
cell_005_007,300.0,220.0,4173.0,27.0,False,5,7
cell_005_008,340.0,220.0,4162.0,38.0,False,5,8
cell_005_009,380.0,220.0,4140.0,60.0,False,5,9
cell_005_010,420.0,220.0,4200.0,0.0,False,5,10
cell_005_011,460.0,220.0,4151.0,49.0,False,5,11
cell_006_000,20.0,260.0,3872.0,328.0,True,6,0
cell_006_001,60.0,260.0,3923.0,277.0,True,6,1
cell_006_002,100.0,260.0,4023.0,177.0,False,6,2
cell_006_003,140.0,260.0,4152.0,48.0,False,6,3
cell_006_004,180.0,260.0,4184.0,16.0,False,6,4
cell_006_005,220.0,260.0,4200.0,0.0,False,6,5
cell_006_006,260.0,260.0,4197.0,3.0,False,6,6
cell_006_007,300.0,260.0,4128.0,72.0,False,6,7
cell_006_008,340.0,260.0,4168.0,32.0,False,6,8
cell_006_009,380.0,260.0,4198.0,2.0,False,6,9
cell_006_010,420.0,260.0,4200.0,0.0,False,6,10
cell_006_011,460.0,260.0,4144.0,56.0,False,6,11
cell_007_000,20.0,300.0,3147.0,1053.0,True,7,0
cell_007_001,60.0,300.0,4199.0,1.0,False,7,1
cell_007_002,100.0,300.0,4200.0,0.0,False,7,2
cell_007_003,140.0,300.0,4159.0,41.0,False,7,3
cell_007_004,180.0,300.0,4196.0,4.0,False,7,4
cell_007_005,220.0,300.0,4197.0,3.0,False,7,5
cell_007_006,260.0,300.0,4196.0,4.0,False,7,6
cell_007_007,300.0,300.0,4187.0,13.0,False,7,7
