cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,4786.0,17.0,False,0,0
cell_000_001,60.0,20.0,4779.0,24.0,False,0,1
cell_000_002,100.0,20.0,4772.0,31.0,False,0,2
cell_000_003,140.0,20.0,4765.0,38.0,False,0,3
cell_000_004,180.0,20.0,4758.0,45.0,False,0,4
cell_000_005,220.0,20.0,4803.0,0.0,False,0,5
cell_000_006,260.0,20.0,4803.0,0.0,False,0,6
cell_000_007,300.0,20.0,4798.0,5.0,False,0,7
cell_000_008,340.0,20.0,4791.0,12.0,False,0,8
cell_000_009,380.0,20.0,4784.0,19.0,False,0,9
cell_000_010,420.0,20.0,4778.0,25.0,False,0,10
cell_000_011,460.0,20.0,2562.0,2241.0,True,0,11
cell_001_000,20.0,60.0,4784.0,19.0,False,1,0
cell_001_001,60.0,60.0,4778.0,25.0,False,1,1
cell_001_002,100.0,60.0,4772.0,31.0,False,1,2
cell_001_003,140.0,60.0,4766.0,37.0,False,1,3
cell_001_004,180.0,60.0,4778.0,25.0,False,1,4
cell_001_005,220.0,60.0,4771.0,32.0,False,1,5
cell_001_006,260.0,60.0,4765.0,38.0,False,1,6
cell_001_007,300.0,60.0,4758.0,45.0,False,1,7
cell_001_008,340.0,60.0,4751.0,52.0,False,1,8
cell_001_009,380.0,60.0,4745.0,58.0,False,1,9
cell_001_010,420.0,60.0,4770.0,33.0,False,1,10
cell_001_011,460.0,60.0,4767.0,36.0,False,1,11
cell_002_000,20.0,100.0,4140.0,663.0,True,2,0
cell_002_001,60.0,100.0,4168.0,635.0,True,2,1
cell_002_002,100.0,100.0,4709.0,94.0,False,2,2
cell_002_003,140.0,100.0,4765.0,38.0,False,2,3
cell_002_004,180.0,100.0,4782.0,21.0,False,2,4
cell_002_005,220.0,100.0,4787.0,16.0,False,2,5
cell_002_006,260.0,100.0,1459.0,3344.0,True,2,6
cell_002_007,300.0,100.0,2514.0,2289.0,True,2,7
cell_002_008,340.0,100.0,4223.0,580.0,True,2,8
cell_002_009,380.0,100.0,4738.0,65.0,False,2,9
cell_002_010,420.0,100.0,2577.0,2226.0,True,2,10
cell_002_011,460.0,100.0,4762.0,41.0,False,2,11
cell_003_000,20.0,140.0,4133.0,670.0,True,3,0
cell_003_001,60.0,140.0,4686.0,117.0,False,3,1
cell_003_002,100.0,140.0,4774.0,29.0,False,3,2
cell_003_003,140.0,140.0,4768.0,35.0,False,3,3
cell_003_004,180.0,140.0,4705.0,98.0,False,3,4
cell_003_005,220.0,140.0,4793.0,10.0,False,3,5
cell_003_006,260.0,140.0,4794.0,9.0,False,3,6
cell_003_007,300.0,140.0,4406.0,397.0,True,3,7
cell_003_008,340.0,140.0,4411.0,392.0,True,3,8
cell_003_009,380.0,140.0,4731.0,72.0,False,3,9
cell_003_010,420.0,140.0,2583.0,2220.0,True,3,10
cell_003_011,460.0,140.0,4756.0,47.0,False,3,11
cell_004_000,20.0,180.0,4669.0,134.0,False,4,0
cell_004_001,60.0,180.0,4782.0,21.0,False,4,1
cell_004_002,100.0,180.0,4778.0,25.0,False,4,2
cell_004_003,140.0,180.0,4720.0,83.0,False,4,3
cell_004_004,180.0,180.0,4372.0,431.0,True,4,4
cell_004_005,220.0,180.0,4795.0,8.0,False,4,5
cell_004_006,260.0,180.0,4802.0,1.0,False,4,6
cell_004_007,300.0,180.0,4407.0,396.0,True,4,7
cell_004_008,340.0,180.0,4415.0,388.0,True,4,8
