cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,3428.0,172.0,False,0,0
cell_000_001,60.0,20.0,3429.0,171.0,False,0,1
cell_000_002,100.0,20.0,2912.0,688.0,True,0,2
cell_000_003,140.0,20.0,2905.0,695.0,True,0,3
cell_000_004,180.0,20.0,2769.0,831.0,True,0,4
cell_000_005,220.0,20.0,3475.0,125.0,False,0,5
cell_000_006,260.0,20.0,2547.0,1053.0,True,0,6
cell_000_007,300.0,20.0,2770.0,830.0,True,0,7
cell_000_008,340.0,20.0,2769.0,831.0,True,0,8
cell_000_009,380.0,20.0,3563.0,37.0,False,0,9
cell_000_010,420.0,20.0,3570.0,30.0,False,0,10
cell_000_011,460.0,20.0,2444.0,1156.0,True,0,11
cell_001_000,20.0,60.0,3429.0,171.0,False,1,0
cell_001_001,60.0,60.0,3437.0,163.0,False,1,1
cell_001_002,100.0,60.0,3438.0,162.0,False,1,2
cell_001_003,140.0,60.0,3453.0,147.0,False,1,3
cell_001_004,180.0,60.0,3550.0,50.0,False,1,4
cell_001_005,220.0,60.0,3542.0,58.0,False,1,5
cell_001_006,260.0,60.0,3536.0,64.0,False,1,6
cell_001_007,300.0,60.0,3529.0,71.0,False,1,7
cell_001_008,340.0,60.0,3562.0,38.0,False,1,8
cell_001_009,380.0,60.0,3587.0,13.0,False,1,9
cell_001_010,420.0,60.0,3586.0,14.0,False,1,10
cell_001_011,460.0,60.0,3578.0,22.0,False,1,11
cell_002_000,20.0,100.0,3404.0,196.0,True,2,0
cell_002_001,60.0,100.0,3438.0,162.0,False,2,1
cell_002_002,100.0,100.0,3446.0,154.0,False,2,2
cell_002_003,140.0,100.0,3452.0,148.0,False,2,3
cell_002_004,180.0,100.0,3600.0,0.0,False,2,4
cell_002_005,220.0,100.0,3600.0,0.0,False,2,5
cell_002_006,260.0,100.0,3533.0,67.0,False,2,6
cell_002_007,300.0,100.0,3544.0,56.0,False,2,7
cell_002_008,340.0,100.0,3568.0,32.0,False,2,8
cell_002_009,380.0,100.0,3596.0,4.0,False,2,9
cell_002_010,420.0,100.0,3589.0,11.0,False,2,10
cell_002_011,460.0,100.0,3586.0,14.0,False,2,11
cell_003_000,20.0,140.0,3379.0,221.0,True,3,0
cell_003_001,60.0,140.0,3414.0,186.0,True,3,1
cell_003_002,100.0,140.0,3422.0,178.0,False,3,2
cell_003_003,140.0,140.0,3428.0,172.0,False,3,3
