time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
600.0,01,on_mission,374.1525987298186,431.38419957660625,0.6863222783815783,rr_00,9,cell_011_011,9,50.0
600.0,02,on_mission,411.9121965788572,443.9496480426448,0.6866206263606909,rr_01,8,cell_010_011,10,44.44444444444444
600.0,03,on_mission,281.2170289890017,62.434057978003544,0.6902206613691304,rr_02,6,cell_000_006,12,33.33333333333333
600.0,04,on_mission,277.54220381054427,265.8474012701814,0.6944084808425638,rr_03,9,cell_006_006,9,50.0
600.0,05,on_mission,131.9999999999999,56.000000000000014,0.7632980120449583,rr_04,0,cell_003_000,18,0.0
600.0,06,on_mission,294.23085631415506,21.64832676738427,0.7661652932794485,rr_05,0,cell_002_000,18,0.0
600.0,07,on_mission,72.0,140.0,0.7689175265255879,rr_06,2,cell_003_002,16,11.11111111111111
600.0,08,on_mission,125.45584412271575,74.54415587728425,0.7725813829257406,rr_07,3,cell_001_003,15,16.666666666666664
600.0,09,spare,-500.0,0.0,1.0,None,0,None,0,0
600.0,10,spare,-500.0,0.0,1.0,None,0,None,0,0
600.0,11,spare,-500.0,0.0,1.0,None,0,None,0,0
