cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,8824.0,176.0,False,0,0
cell_000_001,60.0,20.0,8831.0,169.0,False,0,1
cell_000_002,100.0,20.0,8837.0,163.0,False,0,2
cell_000_003,140.0,20.0,8843.0,157.0,False,0,3
cell_000_004,180.0,20.0,8850.0,150.0,False,0,4
cell_000_005,220.0,20.0,8971.0,29.0,False,0,5
cell_000_006,260.0,20.0,8861.0,139.0,False,0,6
cell_000_007,300.0,20.0,8748.0,252.0,True,0,7
cell_000_008,340.0,20.0,8932.0,68.0,False,0,8
cell_000_009,380.0,20.0,8939.0,61.0,False,0,9
cell_000_010,420.0,20.0,8875.0,125.0,False,0,10
cell_000_011,460.0,20.0,2444.0,6556.0,True,0,11
cell_001_000,20.0,60.0,8823.0,177.0,False,1,0
cell_001_001,60.0,60.0,8830.0,170.0,False,1,1
cell_001_002,100.0,60.0,8837.0,163.0,False,1,2
cell_001_003,140.0,60.0,8844.0,156.0,False,1,3
cell_001_004,180.0,60.0,8851.0,149.0,False,1,4
cell_001_005,220.0,60.0,8977.0,23.0,False,1,5
cell_001_006,260.0,60.0,8883.0,117.0,False,1,6
cell_001_007,300.0,60.0,8924.0,76.0,False,1,7
cell_001_008,340.0,60.0,8948.0,52.0,False,1,8
cell_001_009,380.0,60.0,8944.0,56.0,False,1,9
cell_001_010,420.0,60.0,8897.0,103.0,False,1,10
cell_001_011,460.0,60.0,8883.0,117.0,False,1,11
cell_002_000,20.0,100.0,8994.0,6.0,False,2,0
cell_002_001,60.0,100.0,8987.0,13.0,False,2,1
cell_002_002,100.0,100.0,8872.0,128.0,False,2,2
cell_002_003,140.0,100.0,8818.0,182.0,True,2,3
cell_002_004,180.0,100.0,8954.0,46.0,False,2,4
cell_002_005,220.0,100.0,8984.0,16.0,False,2,5
cell_002_006,260.0,100.0,8915.0,85.0,False,2,6
cell_002_007,300.0,100.0,8921.0,79.0,False,2,7
cell_002_008,340.0,100.0,8954.0,46.0,False,2,8
cell_002_009,380.0,100.0,8906.0,94.0,False,2,9
cell_002_010,420.0,100.0,8898.0,102.0,False,2,10
cell_002_011,460.0,100.0,9000.0,0.0,False,2,11
cell_003_000,20.0,140.0,8990.0,10.0,False,3,0
cell_003_001,60.0,140.0,8984.0,16.0,False,3,1
cell_003_002,100.0,140.0,8976.0,24.0,False,3,2
cell_003_003,140.0,140.0,8968.0,32.0,False,3,3
