cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,3510.0,90.0,False,0,0
cell_000_001,60.0,20.0,3483.0,117.0,False,0,1
cell_000_002,100.0,20.0,3449.0,151.0,False,0,2
cell_000_003,140.0,20.0,3447.0,153.0,False,0,3
cell_000_004,180.0,20.0,3441.0,159.0,False,0,4
cell_000_005,220.0,20.0,3434.0,166.0,False,0,5
cell_000_006,260.0,20.0,3595.0,5.0,False,0,6
cell_000_007,300.0,20.0,3590.0,10.0,False,0,7
cell_000_008,340.0,20.0,3600.0,0.0,False,0,8
cell_000_009,380.0,20.0,3600.0,0.0,False,0,9
cell_000_010,420.0,20.0,3594.0,6.0,False,0,10
cell_000_011,460.0,20.0,2562.0,1038.0,True,0,11
cell_001_000,20.0,60.0,3515.0,85.0,False,1,0
cell_001_001,60.0,60.0,3518.0,82.0,False,1,1
cell_001_002,100.0,60.0,3540.0,60.0,False,1,2
cell_001_003,140.0,60.0,3543.0,57.0,False,1,3
cell_001_004,180.0,60.0,3566.0,34.0,False,1,4
cell_001_005,220.0,60.0,3600.0,0.0,False,1,5
cell_001_006,260.0,60.0,3598.0,2.0,False,1,6
cell_001_007,300.0,60.0,3569.0,31.0,False,1,7
cell_001_008,340.0,60.0,3576.0,24.0,False,1,8
cell_001_009,380.0,60.0,3490.0,110.0,False,1,9
cell_001_010,420.0,60.0,3586.0,14.0,False,1,10
cell_001_011,460.0,60.0,3583.0,17.0,False,1,11
cell_002_000,20.0,100.0,3498.0,102.0,False,2,0
cell_002_001,60.0,100.0,3526.0,74.0,False,2,1
cell_002_002,100.0,100.0,3546.0,54.0,False,2,2
cell_002_003,140.0,100.0,3578.0,22.0,False,2,3
cell_002_004,180.0,100.0,3569.0,31.0,False,2,4
cell_002_005,220.0,100.0,3570.0,30.0,False,2,5
cell_002_006,260.0,100.0,1459.0,2141.0,True,2,6
cell_002_007,300.0,100.0,2514.0,1086.0,True,2,7
cell_002_008,340.0,100.0,3581.0,19.0,False,2,8
cell_002_009,380.0,100.0,3584.0,16.0,False,2,9
cell_002_010,420.0,100.0,2577.0,1023.0,True,2,10
cell_002_011,460.0,100.0,3578.0,22.0,False,2,11
cell_003_000,20.0,140.0,3491.0,109.0,False,3,0
cell_003_001,60.0,140.0,3523.0,77.0,False,3,1
cell_003_002,100.0,140.0,3587.0,13.0,False,3,2
cell_003_003,140.0,140.0,3581.0,19.0,False,3,3
cell_003_004,180.0,140.0,3560.0,40.0,False,3,4
cell_003_005,220.0,140.0,3537.0,63.0,False,3,5
cell_003_006,260.0,140.0,3538.0,62.0,False,3,6
cell_003_007,300.0,140.0,3308.0,292.0,True,3,7
cell_003_008,340.0,140.0,3313.0,287.0,True,3,8
cell_003_009,380.0,140.0,3591.0,9.0,False,3,9
cell_003_010,420.0,140.0,2583.0,1017.0,True,3,10
cell_003_011,460.0,140.0,3572.0,28.0,False,3,11
cell_004_000,20.0,180.0,3493.0,107.0,False,4,0
cell_004_001,60.0,180.0,3595.0,5.0,False,4,1
cell_004_002,100.0,180.0,3591.0,9.0,False,4,2
cell_004_003,140.0,180.0,3557.0,43.0,False,4,3
cell_004_004,180.0,180.0,3220.0,380.0,True,4,4
cell_004_005,220.0,180.0,3539.0,61.0,False,4,5
cell_004_006,260.0,180.0,3546.0,54.0,False,4,6
cell_004_007,300.0,180.0,3309.0,291.0,True,4,7
cell_004_008,340.0,180.0,3598.0,2.0,False,4,8
cell_004_009,380.0,180.0,3595.0,5.0,False,4,9
cell_004_010,420.0,180.0,3466.0,134.0,False,4,10
cell_004_011,460.0,180.0,3565.0,35.0,False,4,11
