time,active_uavs,spare_uavs,swapping_uavs,coverage_%,rolling_avg_%,cells_overdue,c2_violations,c3_alarms,c3_missed,avg_soc,min_soc
1.0,1,29,0,0.0,0.0,144,0,0,0,100.0,99.9
2.0,1,29,0,0.0,0.0,144,0,0,0,100.0,99.9
3.0,1,29,0,0.0,0.0,144,0,0,0,100.0,99.8
4.0,1,29,0,0.0,0.0,144,0,0,0,100.0,99.8
5.0,2,28,0,0.0,0.0,144,0,0,0,100.0,99.7
6.0,2,28,0,0.0,0.0,144,0,0,0,100.0,99.7
7.0,2,28,0,0.0,0.0,144,0,0,0,100.0,99.6
8.0,2,28,0,0.0,0.0,144,0,0,0,100.0,99.6
9.0,2,28,0,0.0,0.0,144,0,0,0,100.0,99.5
10.0,3,27,0,0.0,0.0,144,0,0,0,100.0,99.5
11.0,3,27,0,0.0,0.0,144,0,0,0,100.0,99.4
12.0,3,27,0,0.0,0.0,144,0,0,0,100.0,99.4
13.0,3,27,0,0.0,0.0,144,0,0,0,100.0,99.3
14.0,3,27,0,0.0,0.0,144,0,0,0,100.0,99.3
15.0,4,26,0,0.0,0.0,144,0,0,0,99.9,99.2
16.0,4,26,0,0.0,0.0,144,0,0,0,99.9,99.2
17.0,4,26,0,0.0,0.0,144,0,0,0,99.9,99.1
18.0,4,26,0,0.0,0.0,144,0,0,0,99.9,99.0
19.0,4,26,0,0.0,0.0,144,0,0,0,99.9,99.0
20.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.9
21.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.9
22.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.8
23.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.8
24.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.7
25.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.7
26.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.6
27.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.6
28.0,4,26,0,0.0,0.0,144,0,0,0,99.9,98.5
29.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.5
30.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.4
31.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.4
32.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.3
33.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.3
34.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.2
35.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.1
36.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.1
37.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.0
38.0,4,26,0,0.0,0.0,144,0,0,0,99.8,98.0
39.0,4,26,0,0.0,0.0,144,0,0,0,99.8,97.9
40.0,4,26,0,0.0,0.0,144,0,0,0,99.8,97.9
41.0,4,26,0,0.0,0.0,144,0,0,0,99.8,97.8
42.0,4,26,0,0.0,0.0,144,0,0,0,99.8,97.8
43.0,4,26,0,0.0,0.0,144,0,0,0,99.8,97.7
44.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.7
45.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.6
46.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.6
47.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.5
48.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.5
49.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.4
50.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.4
51.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.3
52.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.2
53.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.2
54.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.1
55.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.1
56.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.0
57.0,4,26,0,0.0,0.0,144,0,0,0,99.7,97.0
58.0,4,26,0,0.0,0.0,144,0,0,0,99.7,96.9
59.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.9
60.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.8
61.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.8
62.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.7
63.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.7
64.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.6
65.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.6
66.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.5
67.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.5
68.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.4
69.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.3
70.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.3
71.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.2
72.0,4,26,0,0.0,0.0,144,0,0,0,99.6,96.2
73.0,4,26,0,0.0,0.0,144,0,0,0,99.5,96.1
74.0,4,26,0,0.0,0.0,144,0,0,0,99.5,96.1
75.0,4,26,0,0.0,0.0,144,0,0,0,99.5,96.0
76.0,4,26,0,0.0,0.0,144,0,0,0,99.5,96.0
77.0,4,26,0,0.0,0.0,144,0,0,0,99.5,95.9
78.0,4,26,0,0.0,0.0,144,0,0,0,99.5,95.9
79.0,4,26,0,0.0,0.0,144,0,0,0,99.5,95.8
80.0,4,26,0,0.0,0.0,144,0,0,0,99.5,95.8
81.0,4,26,0,0.0,0.0,144,0,0,0,99.5,95.7
82.0,4,26,0,0.7,0.0,143,0,0,0,99.5,95.7
83.0,4,26,0,0.7,0.0,143,0,0,0,99.5,95.6
84.0,4,26,0,0.7,0.0,143,0,0,0,99.5,95.6
85.0,4,26,0,0.7,0.0,143,0,0,0,99.5,95.5
86.0,4,26,0,0.7,0.0,143,0,0,0,99.5,95.4
87.0,4,26,0,0.7,0.0,143,0,0,0,99.5,95.4
88.0,4,26,0,0.7,0.1,143,0,0,0,99.4,95.3
89.0,4,26,0,1.4,0.1,142,0,0,0,99.4,95.3
90.0,4,26,0,1.4,0.1,142,0,0,0,99.4,95.2
91.0,4,26,0,2.1,0.1,141,0,0,0,99.4,95.2
92.0,4,26,0,2.1,0.1,141,0,0,0,99.4,95.1
93.0,4,26,0,2.1,0.1,141,0,0,0,99.4,95.1
94.0,4,26,0,2.1,0.2,141,0,0,0,99.4,95.0
95.0,4,26,0,2.1,0.2,141,0,0,0,99.4,95.0
96.0,4,26,0,2.8,0.2,140,0,0,0,99.4,94.9
97.0,4,26,0,3.5,0.3,139,0,0,0,99.4,94.9
98.0,4,26,0,3.5,0.3,139,0,0,0,99.4,94.8
99.0,4,26,0,4.2,0.3,138,0,0,0,99.4,94.8
100.0,4,26,0,5.6,0.4,136,0,0,0,99.4,94.7
101.0,4,26,0,5.6,0.4,136,0,0,0,99.4,94.7
102.0,4,26,0,6.9,0.5,134,0,0,0,99.3,94.6
103.0,4,26,0,6.9,0.6,134,0,0,0,99.3,94.6
104.0,4,26,0,6.9,0.6,134,0,0,0,99.3,94.5
105.0,4,26,0,6.9,0.7,134,0,0,0,99.3,94.4
106.0,4,26,0,8.3,0.7,132,0,0,0,99.3,94.4
107.0,4,26,0,8.3,0.8,132,0,0,0,99.3,94.4
108.0,4,26,0,9.0,0.9,131,0,0,0,99.3,94.3
109.0,4,26,0,9.7,1.0,130,0,0,0,99.3,94.2
110.0,4,26,0,10.4,1.1,129,0,0,0,99.3,94.2
111.0,4,26,0,10.4,1.1,129,0,0,0,99.3,94.1
112.0,4,26,0,10.4,1.2,129,0,0,0,99.3,94.1
113.0,4,26,0,11.1,1.3,128,0,0,0,99.3,94.0
114.0,4,26,0,11.8,1.4,127,0,0,0,99.3,94.0
115.0,4,26,0,11.8,1.5,127,0,0,0,99.3,93.9
116.0,4,26,0,12.5,1.6,126,0,0,0,99.3,93.9
117.0,4,26,0,13.2,1.7,125,0,0,0,99.2,93.8
118.0,4,26,0,13.2,1.8,125,0,0,0,99.2,93.8
119.0,4,26,0,13.2,1.9,125,0,0,0,99.2,93.7
120.0,4,26,0,14.6,2.0,123,0,0,0,99.2,93.7
121.0,4,26,0,14.6,2.1,123,0,0,0,99.2,93.6
122.0,4,26,0,15.3,2.2,122,0,0,0,99.2,93.6
123.0,4,26,0,15.3,2.3,122,0,0,0,99.2,93.5
124.0,4,26,0,15.3,2.4,122,0,0,0,99.2,93.5
125.0,4,26,0,16.0,2.5,121,0,0,0,99.2,93.4
126.0,4,26,0,16.0,2.6,121,0,0,0,99.2,93.3
127.0,4,26,0,16.7,2.7,120,0,0,0,99.2,93.3
128.0,4,26,0,16.7,2.8,120,0,0,0,99.2,93.2
129.0,4,26,0,18.1,3.0,118,0,0,0,99.2,93.2
130.0,4,26,0,18.8,3.1,117,0,0,0,99.2,93.1
131.0,4,26,0,19.4,3.2,116,0,0,0,99.2,93.1
132.0,4,26,0,20.8,3.3,114,0,0,0,99.1,93.0
133.0,4,26,0,20.8,3.5,114,0,0,0,99.1,93.0
134.0,4,26,0,21.5,3.6,113,0,0,0,99.1,92.9
