cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,4152.0,48.0,False,0,0
cell_000_001,60.0,20.0,3483.0,717.0,True,0,1
cell_000_002,100.0,20.0,3939.0,261.0,True,0,2
cell_000_003,140.0,20.0,3937.0,263.0,True,0,3
cell_000_004,180.0,20.0,4200.0,0.0,False,0,4
cell_000_005,220.0,20.0,4200.0,0.0,False,0,5
cell_000_006,260.0,20.0,4195.0,5.0,False,0,6
cell_000_007,300.0,20.0,4200.0,0.0,False,0,7
cell_000_008,340.0,20.0,4200.0,0.0,False,0,8
cell_000_009,380.0,20.0,4194.0,6.0,False,0,9
cell_000_010,420.0,20.0,4188.0,12.0,False,0,10
cell_000_011,460.0,20.0,2562.0,1638.0,True,0,11
cell_001_000,20.0,60.0,4157.0,43.0,False,1,0
cell_001_001,60.0,60.0,4160.0,40.0,False,1,1
cell_001_002,100.0,60.0,4176.0,24.0,False,1,2
cell_001_003,140.0,60.0,4185.0,15.0,False,1,3
cell_001_004,180.0,60.0,4191.0,9.0,False,1,4
cell_001_005,220.0,60.0,4198.0,2.0,False,1,5
cell_001_006,260.0,60.0,4200.0,0.0,False,1,6
cell_001_007,300.0,60.0,4200.0,0.0,False,1,7
cell_001_008,340.0,60.0,4197.0,3.0,False,1,8
cell_001_009,380.0,60.0,4191.0,9.0,False,1,9
cell_001_010,420.0,60.0,4180.0,20.0,False,1,10
cell_001_011,460.0,60.0,4177.0,23.0,False,1,11
cell_002_000,20.0,100.0,4140.0,60.0,False,2,0
cell_002_001,60.0,100.0,4168.0,32.0,False,2,1
cell_002_002,100.0,100.0,4174.0,26.0,False,2,2
cell_002_003,140.0,100.0,4176.0,24.0,False,2,3
cell_002_004,180.0,100.0,4069.0,131.0,False,2,4
cell_002_005,220.0,100.0,4053.0,147.0,False,2,5
cell_002_006,260.0,100.0,1459.0,2741.0,True,2,6
cell_002_007,300.0,100.0,2514.0,1686.0,True,2,7
cell_002_008,340.0,100.0,3902.0,298.0,True,2,8
cell_002_009,380.0,100.0,4183.0,17.0,False,2,9
cell_002_010,420.0,100.0,2577.0,1623.0,True,2,10
cell_002_011,460.0,100.0,4172.0,28.0,False,2,11
cell_003_000,20.0,140.0,4133.0,67.0,False,3,0
cell_003_001,60.0,140.0,3955.0,245.0,True,3,1
cell_003_002,100.0,140.0,4087.0,113.0,False,3,2
cell_003_003,140.0,140.0,4081.0,119.0,False,3,3
cell_003_004,180.0,140.0,4018.0,182.0,True,3,4
cell_003_005,220.0,140.0,4059.0,141.0,False,3,5
cell_003_006,260.0,140.0,4060.0,140.0,False,3,6
cell_003_007,300.0,140.0,4040.0,160.0,False,3,7
cell_003_008,340.0,140.0,4045.0,155.0,False,3,8
