time,04,09,20,21
2650,41.7,44.4,23.0,61.6
2655,41.5,44.2,23.0,61.4
2660,41.2,43.9,23.0,61.1
2665,40.9,43.6,23.0,60.9
2670,40.7,43.4,23.0,60.6
2675,40.4,43.1,23.0,60.3
2680,40.1,42.9,100.0,60.1
2685,39.9,42.6,100.0,59.8
2690,39.6,42.4,100.0,59.5
2695,39.4,42.1,100.0,59.3
2700,39.1,41.8,100.0,59.0
2705,38.8,41.6,100.0,58.7
2710,38.6,41.3,100.0,58.5
2715,38.3,41.0,100.0,58.2
2720,38.0,40.8,100.0,58.0
2725,37.8,40.5,100.0,57.7
2730,37.5,40.2,100.0,57.4
2735,37.3,40.0,100.0,57.2
2740,37.0,39.7,100.0,56.9
2745,36.7,39.5,100.0,56.6
2750,36.5,39.2,100.0,56.4
2755,36.2,38.9,100.0,56.1
2760,36.0,38.7,100.0,55.8
2765,35.7,38.4,100.0,55.6
2770,35.5,38.2,99.9,55.3
2775,35.2,37.9,99.7,55.0
2780,34.9,37.6,99.4,54.8
2785,34.7,37.4,99.2,54.5
2790,34.4,37.1,98.9,54.3
2795,34.2,36.8,98.6,54.0
2800,33.9,36.6,98.4,53.8
2805,33.6,36.3,98.1,53.5
2810,33.4,36.0,97.8,53.2
2815,33.1,35.8,97.6,53.0
2820,32.8,35.5,97.3,52.7
2825,32.6,35.2,97.0,52.5
2830,32.3,35.0,96.8,52.2
2835,32.1,34.7,96.5,51.9
2840,31.8,34.4,96.2,51.7
2845,31.5,34.2,96.0,51.4
2850,31.3,34.0,95.7,51.1
2855,31.0,33.7,95.4,50.9
2860,30.7,33.4,95.2,50.6
2865,30.5,33.2,94.9,50.4
2870,30.2,32.9,94.7,50.1
2875,29.9,32.6,94.4,49.8
2880,29.7,32.4,94.1,49.6
2885,29.4,32.1,93.9,49.3
2890,29.1,31.9,93.6,49.0
2895,28.9,31.6,93.3,48.8
2900,28.6,31.3,93.1,48.5
2905,28.4,31.1,92.8,48.2
2910,28.1,30.8,92.5,48.0
2915,27.8,30.5,92.3,47.7
2920,27.6,30.3,92.0,47.4
2925,27.3,30.0,91.7,47.2
2930,27.0,29.8,91.5,46.9
2935,26.8,29.5,91.2,46.7
2940,26.5,29.2,91.0,46.4
2945,26.2,29.0,90.7,46.1
2950,26.0,28.7,90.4,45.9
2955,25.7,28.4,90.2,45.6
2960,25.4,28.2,89.9,45.3
2965,25.2,27.9,89.7,45.1
2970,24.9,27.6,89.4,44.8
2975,24.6,27.4,89.1,44.5
2980,24.4,27.1,88.9,44.3
2985,24.2,26.8,88.6,44.1
2990,24.2,26.6,88.3,43.8
2995,24.2,26.3,88.1,43.5
3000,24.2,26.1,87.8,43.3
3005,24.2,25.8,87.5,43.0
3010,24.2,25.5,87.3,42.7
