time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
7200.0,01,on_mission,118.0,380.0,0.7458426342362628,01_route,1,cell_009_002,2,33.33333333333333
7200.0,02,on_mission,284.5350340123173,146.40423190762627,0.4818863492001773,02_route,3,cell_005_008,6,33.33333333333333
7200.0,03,on_mission,266.02788910786774,259.0355090314072,0.5032135062709999,03_route,0,cell_005_011,5,0.0
7200.0,04,on_mission,460.0,184.0,0.7729384851503116,04_route,2,cell_011_011,5,28.57142857142857
7200.0,05,on_mission,334.0,60.0,0.7793022406196937,05_route,2,cell_001_006,1,66.66666666666666
7200.0,06,on_mission,189.42126605482218,172.8936697258879,0.910272807022918,06_route,1,cell_000_005,2,33.33333333333333
7200.0,07,on_mission,227.35294294893131,457.2896491397816,0.8076661023349418,07_route,0,cell_009_009,3,0.0
7200.0,08,on_mission,-246.4567762088338,6.2411912203012925,0.9777777777777794,08_route,0,cell_000_009,3,0.0
7200.0,09,spare,-500.0,0.0,1.0,09_route,0,cell_010_003,3,0.0
7200.0,10,swapping,-500.0,0.0,0.24036006997288514,10_route,0,cell_000_009,3,0.0
7200.0,11,on_mission,-231.16757403078333,95.91413505515023,0.24511309881110716,11_route,2,cell_006_008,1,66.66666666666666
7200.0,12,on_mission,-143.5831582352045,86.38350320942052,0.2595255585895612,12_route,1,cell_011_001,2,33.33333333333333
7200.0,13,on_mission,386.9074026404697,108.35181848328693,0.36139836263069863,13_route,2,cell_001_009,1,66.66666666666666
7200.0,14,on_mission,140.12037451865507,261.8769684048366,0.37579357644789924,14_route,1,cell_008_003,6,14.285714285714285
7200.0,15,on_mission,234.2729005553638,262.08258161623166,0.3955186803805764,15_route,0,cell_004_011,5,0.0
7200.0,16,on_mission,106.85212856658183,422.51829714673477,0.4282863745705932,16_route,1,cell_003_011,2,33.33333333333333
7200.0,17,on_mission,300.0,276.0,0.4561982728009981,17_route,4,cell_008_007,4,50.0
7200.0,18,on_mission,416.36753236814695,296.36753236814695,0.48631001009830377,18_route,2,cell_007_010,1,66.66666666666666
7200.0,19,spare,-499.038257383983,0.4919309250654762,1.0,19_route,0,cell_004_011,5,0.0
7200.0,20,spare,-500.0,0.0,1.0,20_route,0,cell_000_000,9,0.0
7200.0,21,spare,-500.0,0.0,1.0,None,0,None,0,0
