cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,5400.0,0.0,False,0,0
cell_000_001,60.0,20.0,5288.0,112.0,False,0,1
cell_000_002,100.0,20.0,4622.0,778.0,True,0,2
cell_000_003,140.0,20.0,4628.0,772.0,True,0,3
cell_000_004,180.0,20.0,4634.0,766.0,True,0,4
cell_000_005,220.0,20.0,5335.0,65.0,False,0,5
cell_000_006,260.0,20.0,4442.0,958.0,True,0,6
cell_000_007,300.0,20.0,4394.0,1006.0,True,0,7
cell_000_008,340.0,20.0,5290.0,110.0,False,0,8
cell_000_009,380.0,20.0,5297.0,103.0,False,0,9
cell_000_010,420.0,20.0,5021.0,379.0,True,0,10
cell_000_011,460.0,20.0,2444.0,2956.0,True,0,11
cell_001_000,20.0,60.0,5288.0,112.0,False,1,0
cell_001_001,60.0,60.0,5296.0,104.0,False,1,1
cell_001_002,100.0,60.0,5297.0,103.0,False,1,2
cell_001_003,140.0,60.0,5312.0,88.0,False,1,3
cell_001_004,180.0,60.0,5320.0,80.0,False,1,4
cell_001_005,220.0,60.0,5400.0,0.0,False,1,5
cell_001_006,260.0,60.0,5400.0,0.0,False,1,6
cell_001_007,300.0,60.0,5400.0,0.0,False,1,7
cell_001_008,340.0,60.0,5397.0,3.0,False,1,8
cell_001_009,380.0,60.0,5400.0,0.0,False,1,9
cell_001_010,420.0,60.0,5400.0,0.0,False,1,10
cell_001_011,460.0,60.0,5029.0,371.0,True,1,11
cell_002_000,20.0,100.0,5272.0,128.0,False,2,0
cell_002_001,60.0,100.0,5297.0,103.0,False,2,1
cell_002_002,100.0,100.0,5305.0,95.0,False,2,2
cell_002_003,140.0,100.0,5311.0,89.0,False,2,3
cell_002_004,180.0,100.0,5318.0,82.0,False,2,4
cell_002_005,220.0,100.0,5348.0,52.0,False,2,5
cell_002_006,260.0,100.0,5336.0,64.0,False,2,6
cell_002_007,300.0,100.0,5279.0,121.0,False,2,7
cell_002_008,340.0,100.0,5312.0,88.0,False,2,8
cell_002_009,380.0,100.0,5374.0,26.0,False,2,9
cell_002_010,420.0,100.0,5398.0,2.0,False,2,10
cell_002_011,460.0,100.0,5372.0,28.0,False,2,11
cell_003_000,20.0,140.0,5191.0,209.0,True,3,0
cell_003_001,60.0,140.0,5265.0,135.0,False,3,1
cell_003_002,100.0,140.0,5158.0,242.0,True,3,2
cell_003_003,140.0,140.0,5165.0,235.0,True,3,3
cell_003_004,180.0,140.0,5313.0,87.0,False,3,4
cell_003_005,220.0,140.0,5355.0,45.0,False,3,5
cell_003_006,260.0,140.0,5373.0,27.0,False,3,6
cell_003_007,300.0,140.0,5344.0,56.0,False,3,7
cell_003_008,340.0,140.0,5316.0,84.0,False,3,8
cell_003_009,380.0,140.0,5367.0,33.0,False,3,9
cell_003_010,420.0,140.0,5391.0,9.0,False,3,10
cell_003_011,460.0,140.0,5388.0,12.0,False,3,11
cell_004_000,20.0,180.0,5322.0,78.0,False,4,0
cell_004_001,60.0,180.0,5258.0,142.0,False,4,1
cell_004_002,100.0,180.0,5178.0,222.0,True,4,2
cell_004_003,140.0,180.0,5170.0,230.0,True,4,3
cell_004_004,180.0,180.0,5307.0,93.0,False,4,4
cell_004_005,220.0,180.0,5361.0,39.0,False,4,5
cell_004_006,260.0,180.0,5379.0,21.0,False,4,6
cell_004_007,300.0,180.0,5400.0,0.0,False,4,7
cell_004_008,340.0,180.0,5353.0,47.0,False,4,8
cell_004_009,380.0,180.0,5400.0,0.0,False,4,9
cell_004_010,420.0,180.0,5400.0,0.0,False,4,10
cell_004_011,460.0,180.0,5383.0,17.0,False,4,11
cell_005_000,20.0,220.0,5376.0,24.0,False,5,0
cell_005_001,60.0,220.0,5381.0,19.0,False,5,1
cell_005_002,100.0,220.0,5338.0,62.0,False,5,2
cell_005_003,140.0,220.0,5289.0,111.0,False,5,3
cell_005_004,180.0,220.0,5300.0,100.0,False,5,4
cell_005_005,220.0,220.0,5368.0,32.0,False,5,5
cell_005_006,260.0,220.0,5366.0,34.0,False,5,6
cell_005_007,300.0,220.0,5400.0,0.0,False,5,7
cell_005_008,340.0,220.0,5396.0,4.0,False,5,8
cell_005_009,380.0,220.0,5398.0,2.0,False,5,9
